R-HSA-199306,PR:000027896
R-HSA-55881,PR:000028366
R-HSA-139953,PR:000028379
R-HSA-197895,PR:000028380
R-HSA-66370,PR:000028382
R-HSA-66344,PR:000028386
R-HSA-164618,PR:000028388
R-HSA-197673,PR:000028404
R-HSA-57578,PR:000028409
R-HSA-114701,PR:000028410
R-HSA-197845,PR:000028413
R-HSA-198013,PR:000028414
R-HSA-57596,PR:000028415
R-HSA-167542,PR:000028418
R-HSA-191465,PR:000028421
R-HSA-179837,PR:000028422
R-HSA-72580,PR:000028425
R-HSA-72578,PR:000028426
R-HSA-443399,PR:000028429
R-HSA-202754,PR:000028431
R-HSA-140946,PR:000028432
R-HSA-174898,PR:000028433
R-HSA-140935,PR:000028434
R-HSA-140976,PR:000028435
R-HSA-140977,PR:000028437
R-HSA-201711,PR:000028438
R-HSA-202504,PR:000028440
R-HSA-111965,PR:000028441
R-HSA-72576,PR:000028442
R-HSA-204498,PR:000028443
R-HSA-451638,PR:000028444
R-HSA-349605,PR:000028445
R-HSA-75161,PR:000028446
R-HSA-202749,PR:000028447
R-HSA-446408,PR:000028448
R-HSA-167529,PR:000028449
R-HSA-1013858,PR:000028450
R-HSA-445016,PR:000028451
R-HSA-69018,PR:000028453
R-HSA-72581,PR:000028454
R-HSA-166163,PR:000028678
R-HSA-450278,PR:000028691
R-HSA-450290,PR:000028695
R-HSA-8847510,PR:000030032
R-HSA-6786575,PR:000030041
R-HSA-3777103,PR:000030063
R-HSA-5634790,PR:000030066
R-HSA-6787538,PR:000030069
R-HSA-164387,PR:000030075
R-HSA-141440,PR:000035511
R-HSA-156668,PR:000035546
R-HSA-6798754,PR:000035630
R-HSA-8873676,PR:000035676
R-HSA-166010,PR:000035701
R-HSA-166033,PR:000035702
R-HSA-166025,PR:000035703
R-HSA-2685681,PR:000035714
R-HSA-3149457,PR:000035717
R-HSA-6798734,PR:000035719
R-HSA-3149452,PR:000035723
R-HSA-72476,PR:000035725
R-HSA-450277,PR:000035730
R-HSA-450152,PR:000035732
R-HSA-202527,PR:000035736
R-HSA-847073,PR:000035740
R-HSA-205961,PR:000035772
R-HSA-195273,PR:000035774
R-HSA-202506,PR:000035831
R-HSA-177663,PR:000035833
R-HSA-168168,PR:000035834
R-HSA-194043,PR:000035835
R-HSA-1181103,PR:000035903
R-HSA-2028289,PR:000035905
R-HSA-2028696,PR:000035907
R-HSA-2028682,PR:000035909
R-HSA-140660,PR:000035911
R-HSA-140738,PR:000035915
R-HSA-204801,PR:000035917
R-HSA-141051,PR:000035919
R-HSA-141042,PR:000035921
R-HSA-71131,PR:000035923
R-HSA-2228716,PR:000035925
R-HSA-140724,PR:000035927
R-HSA-140605,PR:000035931
R-HSA-71119,PR:000035933
R-HSA-140895,PR:000035935
R-HSA-140642,PR:000035937
R-HSA-3323134,PR:000035939
R-HSA-166050,PR:000036004
R-HSA-2559415,PR:000036014
R-HSA-936402,PR:000036032
R-HSA-937021,PR:000036051
R-HSA-351869,PR:000036063
R-HSA-351828,PR:000036065
R-HSA-2201285,PR:000036075
R-HSA-937030,PR:000036180
R-HSA-2201339,PR:000036181
R-HSA-2213008,PR:000036182
R-HSA-2559578,PR:000036183
R-HSA-936976,PR:000036184
R-HSA-2562542,PR:000036185
R-HSA-936946,PR:000036186
R-HSA-2569054,PR:000036187
R-HSA-168912,PR:000036188
R-HSA-936954,PR:000036189
R-HSA-936965,PR:000036190
R-HSA-937016,PR:000036191
R-HSA-2569053,PR:000036192
R-HSA-170842,PR:000036408
R-HSA-201809,PR:000036421
R-HSA-2426331,PR:000036452
R-HSA-1430775,PR:000036456
R-HSA-5173187,PR:000036491
R-HSA-976821,PR:000036504
R-HSA-114706,PR:000036530
R-HSA-2395269,PR:000036532
R-HSA-114707,PR:000036536
R-HSA-205926,PR:000036540
R-HSA-1449664,PR:000036541
R-HSA-1449686,PR:000036545
R-HSA-1181326,PR:000036546
R-HSA-65944,PR:000036549
R-HSA-445743,PR:000036601
R-HSA-447093,PR:000036602
R-HSA-1449702,PR:000036609
R-HSA-3008773,PR:000036635
R-HSA-167985,PR:000037303
R-HSA-1678955,PR:000037305
R-HSA-168907,PR:000037307
R-GGA-433883,PR:000037461
R-GGA-433947,PR:000037462
R-HSA-166026,PR:000037463
R-HSA-166034,PR:000037464
R-GGA-434119,PR:000037473
R-GGA-433789,PR:000037474
R-MMU-166850,PR:000037476
R-HSA-177997,PR:000037512
R-HSA-378665,PR:000040099
R-HSA-525873,PR:000040103
R-HSA-265065,PR:000040540
R-HSA-201693,PR:000040875
R-HSA-174063,PR:000040911
R-HSA-72573,PR:000041137
